# Pioneer change in CD as function of alpha and elevator defection

-20
-7	-0.088
-6	-0.093
-5	-0.098
-4	-0.103
-3	-0.106
-2	-0.11
-1	-0.113
0	-0.116
1	-0.118
2	-0.119
3	-0.121
4	-0.122
5	-0.122
6	-0.123
7	-0.123
8	-0.122
9	-0.122
10	-0.121
11	-0.119
12	-0.118
13	-0.116
14	-0.114
15	-0.112
16	-0.109
17	-0.107
	
-15	
-7	-0.075
-6	-0.079
-5	-0.083
-4	-0.087
-3	-0.091
-2	-0.094
-1	-0.097
0	-0.1
1	-0.102
2	-0.105
3	-0.107
4	-0.108
5	-0.11
6	-0.111
7	-0.111
8	-0.111
9	-0.111
10	-0.11
11	-0.109
12	-0.108
13	-0.106
14	-0.103
15	-0.1
16	-0.097
17	-0.093
	
-10	
-7	-0.057
-6	-0.061
-5	-0.064
-4	-0.067
-3	-0.07
-2	-0.072
-1	-0.074
0	-0.076
1	-0.078
2	-0.079
3	-0.079
4	-0.08
5	-0.08
6	-0.08
7	-0.08
8	-0.079
9	-0.078
10	-0.077
11	-0.075
12	-0.073
13	-0.071
14	-0.068
15	-0.065
16	-0.062
17	-0.058
	
-5	
-7	-0.036
-6	-0.038
-5	-0.04
-4	-0.041
-3	-0.043
-2	-0.044
-1	-0.045
0	-0.045
1	-0.045
2	-0.045
3	-0.045
4	-0.045
5	-0.044
6	-0.043
7	-0.042
8	-0.041
9	-0.04
10	-0.038
11	-0.037
12	-0.035
13	-0.033
14	-0.031
15	-0.029
16	-0.027
17	-0.025
	
0	
-7	0
-6	0
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
	
5	
-7	0.025
-6	0.026
-5	0.027
-4	0.027
-3	0.028
-2	0.029
-1	0.03
0	0.03
1	0.031
2	0.031
3	0.032
4	0.032
5	0.032
6	0.032
7	0.032
8	0.032
9	0.032
10	0.032
11	0.031
12	0.03
13	0.029
14	0.028
15	0.027
16	0.025
17	0.024
	
10	
-7	0.058
-6	0.059
-5	0.06
-4	0.061
-3	0.062
-2	0.063
-1	0.064
0	0.065
1	0.066
2	0.066
3	0.067
4	0.067
5	0.068
6	0.068
7	0.068
8	0.068
9	0.067
10	0.066
11	0.065
12	0.064
13	0.062
14	0.061
15	0.058
16	0.055
17	0.052
	
15	
-7	0.093
-6	0.093
-5	0.094
-4	0.095
-3	0.096
-2	0.097
-1	0.098
0	0.099
1	0.099
2	0.1
3	0.1
4	0.1
5	0.1
6	0.1
7	0.099
8	0.098
9	0.096
10	0.094
11	0.092
12	0.089
13	0.086
14	0.082
15	0.078
16	0.073
17	0.068
	
20	
-7	0.1
-6	0.101
-5	0.101
-4	0.102
-3	0.103
-2	0.104
-1	0.106
0	0.107
1	0.108
2	0.11
3	0.111
4	0.112
5	0.113
6	0.113
7	0.114
8	0.113
9	0.113
10	0.111
11	0.11
12	0.107
13	0.104
14	0.1
15	0.096
16	0.09
17	0.084
